ダウンロードした時刻：2025/07/16 21:46:53

,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2025/2/26,水,10.4,8,1,4.0,8,1,36,8,1,快晴,8,1,快晴,8,1,17.6,8,1
2025/2/27,木,10.2,8,1,4.2,8,1,42,8,1,快晴,8,1,晴後薄曇,8,1,16.5,8,1
2025/2/28,金,11.0,8,1,5.4,8,1,52,8,1,薄曇後晴,8,1,晴一時曇,8,1,16.6,8,1
2025/3/1,土,13.3,8,1,6.5,8,1,58,8,1,晴時々薄曇,8,1,晴一時薄曇,8,1,19.7,8,1
2025/3/2,日,14.6,8,1,7.9,8,1,57,8,1,晴時々薄曇,8,1,曇時々雨一時晴,8,1,22.1,8,1
2025/3/3,月,5.9,8,1,1.6,8,1,89,8,1,雨後みぞれ一時雪,8,1,曇一時みぞれ,8,1,14.4,8,1
2025/3/4,火,2.4,8,1,0.4,8,1,78,8,1,曇後一時雨、みぞれを伴う,8,1,雪後雨一時みぞれ,8,1,5.4,8,1
2025/3/5,水,5.3,8,1,0.8,8,1,99,8,1,雨後一時霧雨,8,1,曇一時霧雨,8,1,8.4,8,1
2025/3/6,木,9.1,8,1,6.6,8,1,58,8,1,曇,8,1,曇後一時晴,8,1,11.7,8,1
2025/3/7,金,6.9,8,1,3.2,8,1,39,8,1,晴,8,1,晴後一時曇,8,1,12.2,8,1
2025/3/8,土,3.2,8,1,0.5,8,1,66,8,1,曇後時々雨,8,1,曇時々雨一時雪、みぞれを伴う,8,1,6.8,8,1
2025/3/9,日,6.9,8,1,1.5,8,1,66,8,1,晴一時曇,8,1,快晴,8,1,13.5,8,1
2025/3/10,月,9.1,8,1,3.2,8,1,45,8,1,晴後一時薄曇,8,1,曇,8,1,14.9,8,1
2025/3/11,火,10.3,8,1,6.3,8,1,72,8,1,曇時々雨,8,1,雨時々曇,8,1,13.8,8,1
2025/3/12,水,11.6,8,1,8.8,8,1,97,8,1,雨時々曇,8,1,曇時々雨後一時晴,8,1,14.7,8,1
2025/3/13,木,14.5,8,1,9.1,8,1,69,8,1,薄曇時々晴,8,1,晴時々曇,8,1,20.4,8,1
2025/3/14,金,12.8,8,1,8.5,8,1,33,8,1,薄曇後晴,8,1,晴後一時曇,8,1,19.6,8,1
2025/3/15,土,8.9,8,1,6.7,8,1,50,8,1,曇後一時雨,8,1,雨時々曇,8,1,12.0,8,1
2025/3/16,日,6.4,8,1,4.8,8,1,96,8,1,雨,8,1,雨後曇一時晴,8,1,7.8,8,1
2025/3/17,月,10.0,8,1,6.6,8,1,63,8,1,晴,8,1,晴後曇一時雨,8,1,16.2,8,1
2025/3/18,火,8.6,8,1,4.6,8,1,51,8,1,薄曇一時晴,8,1,雨一時晴、雷を伴う,8,1,12.9,8,1
2025/3/19,水,5.6,8,1,0.5,8,1,81,8,1,晴時々雨一時雪、雷・ひょうを伴う,8,1,晴後一時曇,8,1,10.7,8,1
2025/3/20,木,8.3,8,1,4.3,8,1,55,8,1,晴,8,1,晴一時曇,8,1,13.7,8,1
2025/3/21,金,11.2,8,1,3.9,8,1,62,8,1,快晴,8,1,快晴,8,1,17.4,8,1
2025/3/22,土,15.8,8,1,6.9,8,1,49,8,1,快晴,8,1,快晴,8,1,23.6,8,1
2025/3/23,日,17.3,8,1,11.4,8,1,48,8,1,快晴,8,1,快晴,8,1,25.6,8,1
2025/3/24,月,14.8,8,1,10.0,8,1,75,8,1,薄曇時々晴,8,1,曇後晴,8,1,19.2,8,1
2025/3/25,火,17.8,8,1,10.1,8,1,61,8,1,晴,8,1,晴,8,1,25.0,8,1
2025/3/26,水,20.4,8,1,14.9,8,1,45,8,1,晴,8,1,薄曇時々晴,8,1,25.9,8,1
2025/3/27,木,17.9,8,1,12.2,8,1,69,8,1,薄曇一時晴,8,1,曇,8,1,22.4,8,1
2025/3/28,金,19.9,8,1,14.1,8,1,79,8,1,薄曇時々晴一時雨,8,1,雨時々曇一時晴,8,1,25.7,8,1
2025/3/29,土,7.6,8,1,4.3,8,1,90,8,1,雨,8,1,曇時々雨,8,1,14.3,8,1
2025/3/30,日,9.4,8,1,5.1,8,1,63,8,1,薄曇時々晴,8,1,曇時々雨,8,1,15.6,8,1
2025/3/31,月,7.0,8,1,5.5,8,1,62,8,1,曇時々雨,8,1,雨一時曇,8,1,8.9,8,1
2025/4/1,火,5.1,8,1,4.1,8,1,96,8,1,雨,8,1,大雨,8,1,5.8,8,1
2025/4/2,水,9.5,8,1,5.7,8,1,91,8,1,雨時々曇,8,1,曇後一時雨,8,1,13.7,8,1
2025/4/3,木,8.4,8,1,6.0,8,1,91,8,1,雨,8,1,曇時々晴,8,1,9.8,8,1
2025/4/4,金,11.4,8,1,5.3,8,1,60,8,1,晴,8,1,快晴,8,1,18.4,8,1
2025/4/5,土,12.0,8,1,6.1,8,1,60,8,1,晴後薄曇,8,1,曇後一時晴,8,1,17.0,8,1
2025/4/6,日,15.1,8,1,10.6,8,1,73,8,1,曇時々晴一時雨,8,1,曇一時晴,8,1,20.1,8,1
2025/4/7,月,14.3,8,1,10.5,8,1,61,8,1,曇時々晴,8,1,晴後一時薄曇,8,1,19.7,8,1
2025/4/8,火,15.0,8,1,7.9,8,1,55,8,1,薄曇一時晴,8,1,快晴,8,1,20.2,8,1
2025/4/9,水,16.3,8,1,11.0,8,1,51,8,1,晴,8,1,曇時々晴,8,1,23.8,8,1
2025/4/10,木,16.5,8,1,12.0,8,1,72,8,1,曇,8,1,雨時々曇,8,1,22.8,8,1
2025/4/11,金,15.5,8,1,12.9,8,1,84,8,1,曇後一時雨、雷を伴う,8,1,曇一時雨後晴、雷を伴う,8,1,20.0,8,1
2025/4/12,土,15.3,8,1,11.2,8,1,67,8,1,晴,8,1,曇,8,1,20.5,8,1
2025/4/13,日,13.1,8,1,11.9,8,1,90,8,1,雨一時曇,8,1,雨後一時曇,8,1,14.1,8,1
2025/4/14,月,16.9,8,1,13.4,8,1,70,8,1,晴一時薄曇,8,1,晴時々曇後一時雨,8,1,23.0,8,1
2025/4/15,火,16.2,8,1,11.1,8,1,50,8,1,晴時々曇一時雨,8,1,晴時々曇,8,1,22.0,8,1
2025/4/16,水,14.8,8,1,7.7,8,1,36,8,1,快晴,8,1,快晴,8,1,21.1,8,1
2025/4/17,木,17.8,8,1,10.0,8,1,46,8,1,薄曇時々晴,8,1,薄曇時々晴,8,1,25.2,8,1
2025/4/18,金,19.2,8,1,13.8,8,1,66,8,1,薄曇,8,1,晴一時薄曇,8,1,24.9,8,1
2025/4/19,土,20.8,8,1,15.7,8,1,74,8,1,晴後一時薄曇,8,1,曇,8,1,27.8,8,1
2025/4/20,日,20.5,8,1,17.9,8,1,71,8,1,曇,8,1,曇後時々晴,8,1,23.7,8,1
2025/4/21,月,18.5,8,1,13.1,8,1,59,8,1,晴,8,1,晴,8,1,25.1,8,1
2025/4/22,火,18.0,8,1,12.7,8,1,72,8,1,曇一時晴,8,1,曇後雨,8,1,23.2,8,1
2025/4/23,水,17.2,8,1,14.1,8,1,96,8,1,雨後一時曇,8,1,曇,8,1,19.7,8,1
2025/4/24,木,19.4,8,1,16.6,8,1,84,8,1,曇後一時晴,8,1,曇,8,1,24.3,8,1
2025/4/25,金,18.7,8,1,16.7,8,1,78,8,1,曇,8,1,曇,8,1,22.8,8,1
2025/4/26,土,14.5,8,1,10.5,8,1,69,8,1,曇時々晴後一時雨,8,1,快晴,8,1,19.2,8,1
2025/4/27,日,17.0,8,1,9.6,8,1,65,8,1,晴後一時薄曇,8,1,曇,8,1,23.2,8,1
2025/4/28,月,17.4,8,1,13.3,8,1,73,8,1,曇後一時雨,8,1,雨後時々曇一時晴,8,1,23.5,8,1
2025/4/29,火,17.1,8,1,12.7,8,1,57,8,1,晴,8,1,快晴,8,1,23.1,8,1
2025/4/30,水,17.4,8,1,11.1,8,1,48,8,1,快晴,8,1,快晴,8,1,24.2,8,1
2025/5/1,木,18.2,8,1,12.9,8,1,71,8,1,晴後薄曇,8,1,曇後一時雨,8,1,23.8,8,1
2025/5/2,金,16.2,8,1,14.0,8,1,90,8,1,大雨時々曇,8,1,晴一時雨,8,1,18.7,8,1
2025/5/3,土,18.2,8,1,13.6,8,1,61,8,1,薄曇時々晴,8,1,薄曇時々晴,8,1,24.6,8,1
2025/5/4,日,18.5,8,1,13.7,8,1,73,8,1,薄曇後晴,8,1,晴時々曇一時雨,8,1,25.9,8,1
2025/5/5,月,17.7,8,1,11.6,8,1,58,8,1,晴時々薄曇,8,1,曇後一時雨,8,1,23.9,8,1
2025/5/6,火,14.8,8,1,12.9,8,1,88,8,1,雨,8,1,雨時々曇,8,1,18.1,8,1
2025/5/7,水,17.9,8,1,12.9,8,1,65,8,1,晴後時々薄曇,8,1,曇時々雨後一時晴,8,1,23.0,8,1
2025/5/8,木,18.0,8,1,14.3,8,1,56,8,1,晴一時薄曇,8,1,曇時々晴,8,1,22.7,8,1
2025/5/9,金,18.1,8,1,14.6,8,1,77,8,1,曇,8,1,雨,8,1,23.2,8,1
2025/5/10,土,18.8,8,1,15.5,8,1,96,8,1,雨後曇,8,1,薄曇,8,1,21.9,8,1
2025/5/11,日,20.5,8,1,15.6,8,1,71,8,1,薄曇,8,1,雨一時曇,8,1,26.7,8,1
2025/5/12,月,16.8,8,1,15.3,8,1,90,8,1,曇時々雨,8,1,曇,8,1,20.3,8,1
2025/5/13,火,19.8,8,1,15.2,8,1,70,8,1,晴時々薄曇,8,1,薄曇一時晴,8,1,25.6,8,1
2025/5/14,水,20.6,8,1,15.8,8,1,73,8,1,薄曇後一時晴,8,1,晴後一時曇,8,1,26.3,8,1
2025/5/15,木,21.1,8,1,16.6,8,1,74,8,1,薄曇,8,1,薄曇,8,1,26.8,8,1
2025/5/16,金,21.4,8,1,17.5,8,1,72,8,1,薄曇,8,1,曇時々雨,8,1,25.4,8,1
2025/5/17,土,21.3,8,1,18.8,8,1,94,8,1,雨後一時曇,8,1,曇後一時晴,8,1,24.1,8,1
2025/5/18,日,24.2,8,1,21.9,8,1,81,8,1,曇,8,1,曇,8,1,27.1,8,1
2025/5/19,月,19.2,8,1,17.3,8,1,82,8,1,曇一時雨,8,1,曇後一時晴,8,1,22.8,8,1
2025/5/20,火,23.9,8,1,16.1,8,1,69,8,1,晴一時薄曇,8,1,晴時々薄曇,8,1,31.1,8,1
2025/5/21,水,24.7,8,1,19.8,8,1,74,8,1,薄曇,8,1,曇後時々雨,8,1,29.7,8,1
2025/5/22,木,23.0,8,1,16.9,8,1,79,8,1,薄曇,8,1,曇,8,1,27.9,8,1
2025/5/23,金,18.9,8,1,16.6,8,1,65,8,1,曇,8,1,曇,8,1,23.6,8,1
2025/5/24,土,17.7,8,1,15.2,8,1,77,8,1,曇後一時雨,8,1,雨,8,1,20.9,8,1
2025/5/25,日,17.7,8,1,14.6,8,1,91,8,1,曇一時雨,8,1,曇,8,1,20.8,8,1
2025/5/26,月,19.1,8,1,16.8,8,1,56,8,1,曇,8,1,曇,8,1,22.7,8,1
2025/5/27,火,17.9,8,1,15.5,8,1,72,8,1,曇,8,1,曇後時々雨,8,1,20.3,8,1
2025/5/28,水,19.5,8,1,15.8,8,1,70,8,1,晴時々曇,8,1,曇,8,1,25.1,8,1
2025/5/29,木,19.5,8,1,15.5,8,1,69,8,1,薄曇,8,1,雨一時曇,8,1,24.1,8,1
2025/5/30,金,15.1,8,1,13.9,8,1,95,8,1,雨,8,1,曇一時霧雨,8,1,16.5,8,1
2025/5/31,土,15.9,8,1,14.5,8,1,84,8,1,雨時々曇、雷を伴う,8,1,曇時々雨,8,1,17.1,8,1
2025/6/1,日,18.6,8,1,15.0,8,1,76,8,1,晴時々曇後一時雨,8,1,曇時々晴,8,1,24.8,8,1
2025/6/2,月,20.1,8,1,15.1,8,1,81,8,1,曇,8,1,曇後一時雨,8,1,25.0,8,1
2025/6/3,火,18.9,8,1,17.7,8,1,96,8,1,雨,8,1,雨後曇,8,1,21.2,8,1
2025/6/4,水,22.3,8,1,16.7,8,1,83,8,1,曇時々晴,8,1,曇時々晴一時雨,8,1,28.4,8,1
2025/6/5,木,22.8,8,1,17.0,8,1,70,8,1,晴,8,1,晴後薄曇,8,1,28.9,8,1
2025/6/6,金,23.4,8,1,18.4,8,1,64,8,1,薄曇一時晴,8,1,薄曇一時晴,8,1,28.8,8,1
2025/6/7,土,23.6,8,1,20.1,8,1,69,8,1,薄曇一時晴,8,1,曇後一時雨,8,1,29.6,8,1
2025/6/8,日,23.2,8,1,19.7,8,1,78,8,1,曇一時雨,8,1,曇,8,1,28.6,8,1
2025/6/9,月,21.9,8,1,19.3,8,1,82,8,1,曇後一時雨,8,1,雨時々曇,8,1,25.9,5,1
2025/6/10,火,20.4,8,1,19.2,8,1,99,8,1,雨後一時曇,8,1,曇時々雨,8,1,21.6,8,1
2025/6/11,水,20.8,8,1,19.7,8,1,100,8,1,雨一時曇,8,1,曇後一時晴,8,1,23.1,8,1
2025/6/12,木,22.9,8,1,19.1,8,1,74,8,1,曇一時晴,8,1,曇,8,1,27.8,8,1
2025/6/13,金,22.5,8,1,19.4,8,1,76,8,1,曇,8,1,曇一時雨,8,1,26.4,8,1
2025/6/14,土,22.3,8,1,20.8,8,1,85,8,1,曇時々雨,8,1,雨一時曇,8,1,25.6,8,1
2025/6/15,日,24.9,8,1,21.7,8,1,93,8,1,曇時々雨後一時晴,8,1,曇一時雨,8,1,29.2,8,1
2025/6/16,月,26.5,8,1,23.2,8,1,84,8,1,曇一時晴,8,1,晴一時薄曇,8,1,31.6,8,1
2025/6/17,火,29.0,8,1,23.6,8,1,74,8,1,晴,8,1,晴,8,1,34.8,8,1
2025/6/18,水,28.8,8,1,24.4,8,1,68,8,1,晴,8,1,晴後一時曇,8,1,34.4,8,1
2025/6/19,木,27.8,8,1,23.9,8,1,75,8,1,晴一時曇,8,1,曇時々晴,8,1,33.5,8,1
2025/6/20,金,26.5,8,1,23.3,8,1,74,8,1,晴時々曇,8,1,曇後晴,8,1,31.4,8,1
2025/6/21,土,26.5,8,1,22.5,8,1,73,8,1,晴後薄曇,8,1,薄曇一時晴,8,1,31.4,8,1
2025/6/22,日,28.2,8,1,24.1,8,1,67,8,1,晴,8,1,薄曇時々晴,8,1,33.1,8,1
2025/6/23,月,27.9,8,1,25.6,8,1,74,8,1,薄曇,8,1,曇,8,1,31.9,8,1
2025/6/24,火,26.9,8,1,24.9,8,1,83,8,1,曇一時雨,8,1,曇後一時雨,8,1,29.2,8,1
2025/6/25,水,26.2,8,1,24.5,8,1,93,8,1,曇時々雨,8,1,曇後時々雨,8,1,29.4,8,1
2025/6/26,木,27.1,8,1,23.8,8,1,87,8,1,曇時々雨,8,1,雨後曇,8,1,32.9,8,1
2025/6/27,金,27.1,8,1,23.5,8,1,79,8,1,晴時々薄曇,8,1,晴時々曇一時雨,8,1,32.2,8,1
2025/6/28,土,28.2,8,1,23.6,8,1,61,8,1,晴時々薄曇,8,1,晴,8,1,33.8,8,1
2025/6/29,日,27.6,8,1,23.0,8,1,67,8,1,晴後薄曇,8,1,晴一時薄曇,8,1,32.6,8,1
2025/6/30,月,28.3,8,1,23.9,8,1,74,8,1,晴後薄曇,8,1,晴,8,1,33.2,8,1
2025/7/1,火,28.2,8,1,25.3,8,1,82,8,1,曇,8,1,曇一時雨、雷を伴う,8,1,33.5,8,1
2025/7/2,水,28.0,8,1,25.1,8,1,84,8,1,曇一時雨,8,1,曇一時晴,8,1,33.0,8,1
2025/7/3,木,28.5,8,1,25.4,8,1,75,8,1,晴時々曇,8,1,晴後曇,8,1,33.4,8,1
2025/7/4,金,28.3,8,1,25.3,8,1,77,8,1,薄曇時々晴,8,1,薄曇一時雨,8,1,33.4,8,1
2025/7/5,土,29.0,8,1,24.7,8,1,76,8,1,曇時々晴,8,1,曇一時雨,8,1,34.4,8,1
2025/7/6,日,29.7,8,1,26.3,8,1,77,8,1,曇時々晴,8,1,曇時々晴,8,1,34.9,8,1
2025/7/7,月,30.0,8,1,26.7,8,1,75,8,1,曇時々晴,8,1,曇後一時晴,8,1,35.6,8,1
2025/7/8,火,30.3,8,1,26.4,8,1,72,8,1,晴,8,1,晴時々曇,8,1,35.8,8,1
2025/7/9,水,29.9,8,1,27.1,8,1,73,8,1,晴一時曇,8,1,晴,8,1,34.7,8,1
2025/7/10,木,28.3,8,1,22.3,8,1,78,8,1,晴後時々曇、雷を伴う,8,1,曇時々雨、雷を伴う,8,1,35.7,8,1
2025/7/11,金,23.2,8,1,21.6,8,1,82,8,1,曇後一時雨,8,1,曇後時々晴,8,1,25.1,8,1
2025/7/12,土,23.6,8,1,20.7,8,1,74,8,1,曇,8,1,曇,8,1,26.6,8,1
2025/7/13,日,26.8,8,1,22.2,8,1,74,8,1,晴時々曇,8,1,曇一時雨,8,1,32.3,8,1
2025/7/14,月,26.9,8,1,24.9,8,1,86,8,1,曇時々雨後一時晴,8,1,曇一時晴後一時雨,8,1,29.9,8,1
2025/7/15,火,26.9,8,1,25.2,8,1,92,8,1,曇時々雨,8,1,薄曇時々雨,8,1,30.6,8,1
